3.197387267904508690e+02	3.274699610734093653e+02	3-20
4.145404767646145956e+02	3.219582314237487140e+02	2-10
1.091906541734127813e+02	4.343975162768266500e+02	6-5-1
2.712355058734368640e+02	5.975447139067829312e+02	6-4-3
4.068240552550896609e+02	5.325063040407868584e+02	2-1-1
3.506044128285507213e+02	4.961288883530263547e+02	5-3-2
3.803677529367183752e+02	3.748708360604912855e+02	7-4-1
4.134381308346825108e+02	4.443186296462158680e+02	6-3-2
3.781630610768540919e+02	4.332951703468945084e+02	7-4-2
4.189498604843431622e+02	3.792802197802197952e+02	6-3-1
4.498155465224430145e+02	4.189646732577767239e+02	7-3-2
4.894999999999998863e+02	4.310904784870302251e+02	3-1-1
5.071375348789140389e+02	4.101459058183196476e+02	7-2-2
5.005234592993213028e+02	3.627450308312377842e+02	7-2-1
4.608390058217643173e+02	3.869966412897447867e+02	5-2-1
5.666642150952494603e+02	4.983335802128905812e+02	6-1-3
5.600501395156566105e+02	5.589626063591581442e+02	5-1-3
6.317026249612454194e+02	4.255787488373695737e+02	30-1
6.405213924007025525e+02	4.531373970856730011e+02	50-2
6.526471976299560538e+02	5.038453098625512894e+02	20-1
7.705982121326946981e+02	4.751843156843157203e+02	51-2
7.364254883047985913e+02	4.399092459264873582e+02	61-2
6.162697819421955501e+02	3.131394639842916376e+02	100
5.556407557959280439e+02	3.164465017740880057e+02	7-10
5.457196424265388259e+02	2.657385889972097175e+02	6-11
4.983187674394570195e+02	2.249517895897206472e+02	7-22
4.795788866306106684e+02	2.084166006407385794e+02	3-11
6.294979331013812498e+02	1.643227634434531410e+02	502
7.386301801646627609e+02	2.271564814495849305e+02	511
9.546899824313616136e+02	4.002247924489304296e+02	52-1
4.443038168727823631e+02	2.789667401563953604e+02	7-31
4.112334389748182275e+02	2.690456267870061424e+02	6-31
3.836747907265147433e+02	1.036937372971856348e+02	2-11
5.523337180061316758e+02	1.235359640359640707e+02	6-13
4.608390058217643173e+02	1.874720279720280587e+02	8-33
3.517067587584828061e+02	2.503057459781597913e+02	5-31
3.638325639877363074e+02	2.128259843604671460e+02	7-42
2.822589651727582805e+02	1.720391849529780757e+02	3-21
2.701331599435047792e+02	2.657385889972097175e+02	7-51
3.759583692169898086e+02	2.734550105067347090e+02	7-41
7.287090667952734293e+02	1.753462227427745574e+02	612
4.817835784904749516e+02	2.514080919080919330e+02	9-32
5.633571773054530922e+02	4.068388680285232226e+02	7-1-2
4.189498604843431622e+02	6.290693788969656453e+01	7-34
4.762718488408143003e+02	1.257406558958283540e+02	6-23
6.427260842605669495e+02	1.058984291570499181e+02	201
6.173721278721277486e+02	2.580221674876847828e+02	601
